Crypto Coin Name,Coin Price ($)
Bitcoin BTC,"65,683.47"
Ethereum ETH,"3,304.39"
Binance Coin BNB,557.32
Solana SOL,185.01
XRP XRP,0.57307206
Dogecoin DOGE,0.17511360
Cardano ADA,0.57432260
Avalanche AVAX,45.72
Toncoin TON,4.97
Shiba Inu SHIB,0.00002606
Polkadot DOT,8.40
Bitcoin Cash BCH,573.38
Chainlink LINK,17.60
Tron TRX,0.11718207
Wrapped Bitcoin WBTC,"65,938.33"
Internet Computer ICP,17.92
Polygon MATIC,0.88848003
Uniswap UNI,10.78
Litecoin LTC,98.01
NEAR Protocol NEAR,6.66
UNUS SED LEO LEO,6.06
Aptos APT,14.05
Stacks STX,3.11
Filecoin FIL,8.45
Ethereum Classic ETC,30.36
Cosmos ATOM,10.79
Arbitrum ARB,1.46
Immutable X IMX,2.67
Cronos CRO,0.14223166
dogwifhat WIF,3.67
Stellar XLM,0.12604912
Render Token RNDR,9.32
Maker MKR,"3,760.69"
Hedera HBAR,0.10258456
OKB OKB,55.70
The Graph GRT,0.33048585
Optimism OP,3.06
Injective Protocol INJ,33.47
VeChain VET,0.04068547
Kaspa KAS,0.12486028
Fetch.ai FET,2.57
Core CORE,2.97
Theta THETA,2.50
THORChain RUNE,7.24
Fantom FTM,0.83140138
Monero XMR,124.08
Lido DAO LDO,2.50
Arweave AR,33.46
Sui SUI,1.67
Jupiter JUP,1.60
Gala GALA,0.05548059
Celestia TIA,11.87
FLOKI FLOKI,0.00019907
SEI SEI,0.70184231
Algorand ALGO,0.23138798
Bitcoin SV BSV,90.79
Flow FLOW,1.16
Quant QNT,118.38
Aave AAVE,114.40
Ribbon Finance RBN,1.66
Flare FLR,0.04117006
Bonk BONK,0.00002260
MultiverseX EGLD,53.65
dYdX DYDX,3.03
Conflux CFX,0.36319337
Starknet Token STRK,1.89
BitTorrent BTT,0.051399
Axie Infinity AXS,9.45
SingularityNET AGIX,1.04
The Sandbox SAND,0.59127762
Pyth Network PYTH,0.87418905
Synthetix SNX,3.98
eCash XEC,0.00006066
Tezos XTZ,1.20
Worldcoin WLD,6.77
Ondo ONDO,0.79065319
Chiliz CHZ,0.12832377
Mina MINA,1.05
GateToken GT,8.31
EOS EOS,0.95378577
Decentraland MANA,0.57290682
ApeCoin APE,1.68
Axelar AXL,1.67
Akash Network AKT,4.37
KuCoin Token KCS,10.51
Binance USD BUSD,0.99945408
NEO NEO,14.15
Kava.io KAVA,0.90577306
PancakeSwap CAKE,3.94
IOTA IOTA,0.29815186
AIOZ Network AIOZ,0.84739604
JasmyCoin JASMY,0.01875753
Helium HNT,5.42
Klaytn KLAY,0.23787719
Gnosis GNO,328.76
Dymension DYM,5.23
Osmosis OSMO,1.25
BLUR BLUR,0.53493273
Echelon Prime PRIME,21.26
Luna Classic LUNC,0.00013628
Illuvium ILV,120.97
IoTeX IOTX,0.08115285
Woo Network WOO,0.40887385
Wemix WEMIX,2.05
Nexo NEXO,1.32
Nervos Network CKB,0.01679958
USDD USDD,0.99540745
Bitcoin Gold BTG,40.63
Radix XRD,0.06772234
Curve DAO Token CRV,0.59558258
Manta Network MANTA,2.74
Astar ASTR,0.12009099
Ocean Protocol OCEAN,1.10
Terra 2.0/LUNA LUNA,0.92228361
XDC Network XDC,0.04509624
Enjin ENJ,0.43195315
Jito JTO,5.21
1inch Network 1INCH,0.53015216
Raydium RAY,2.32
Biconomy BICO,0.81323822
Ethereum Name Service ENS,19.28
Skale SKL,0.11183078
ether.fi (ETHFI) ETHFI,5.02
Zilliqa ZIL,0.03170458
Rocket Pool RPL,27.92
Celo CELO,1.06
Stepn GMT,0.29708167
0x ZRX,0.64261588
Ravencoin RVN,0.03953261
Amp AMP,0.00938161
Ankr ANKR,0.05242720
Siacoin SC,0.00921141
Trust Wallet Token TWT,1.25
Golem GLM,0.51471336
Livepeer LPT,16.25
Holo HOT,0.00288735
Frax Share FXS,6.50
EthereumPoW ETHW,4.64
TrueUSD TUSD,1.00
Compound COMP,69.63
MetisDAO METIS,87.80
Galxe GAL,4.34
Mask Network MASK,4.73
Qtum QTUM,4.09
ZetaChain ZETA,1.81
Basic Attention Token BAT,0.28503620
Casper CSPR,0.03530165
PAX Gold PAXG,"2,287.73"
Loopring LRC,0.33566128
OriginTrail TRAC,1.03
